board,decision,Input
  OO XXX ,9,"[0, 0, 2, 2, 0, 1, 1, 1, 0]"
 OXX X O ,5,"[0, 2, 1, 1, 0, 1, 0, 2, 0]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
  O XX OX,2,"[0, 0, 2, 0, 1, 1, 0, 2, 1]"
   X O  X,7,"[0, 0, 0, 1, 0, 2, 0, 0, 1]"
  X O OX ,6,"[0, 0, 1, 0, 2, 0, 2, 1, 0]"
  OX XOOX,5,"[0, 0, 2, 1, 0, 1, 2, 2, 1]"
XOO OXXXO,4,"[1, 2, 2, 0, 2, 1, 1, 1, 2]"
 X OOXXOX,3,"[0, 1, 0, 2, 2, 1, 1, 2, 1]"
X  OX O  ,2,"[1, 0, 0, 2, 1, 0, 2, 0, 0]"
XXOXO   O,7,"[1, 1, 2, 1, 2, 0, 0, 0, 2]"
 XX OX  O,1,"[0, 1, 1, 0, 2, 1, 0, 0, 2]"
 OO XO XX,1,"[0, 2, 2, 0, 1, 2, 0, 1, 1]"
     X O ,5,"[0, 0, 0, 0, 0, 1, 0, 2, 0]"
  X    O ,9,"[0, 0, 1, 0, 0, 0, 0, 2, 0]"
  X XO   ,4,"[0, 0, 1, 0, 1, 2, 0, 0, 0]"
X  O     ,3,"[1, 0, 0, 2, 0, 0, 0, 0, 0]"
 X O     ,5,"[0, 1, 0, 2, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O  X    ,4,"[0, 2, 0, 0, 1, 0, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   O  XX ,5,"[0, 0, 0, 2, 0, 0, 1, 1, 0]"
   X XO O,5,"[0, 0, 0, 1, 0, 1, 2, 0, 2]"
    XO X ,7,"[0, 0, 0, 0, 1, 2, 0, 1, 0]"
      XO ,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
XOXOX OXO,6,"[1, 2, 1, 2, 1, 0, 2, 1, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XOXOOX ,2,"[0, 0, 1, 2, 1, 2, 2, 1, 0]"
     O  X,5,"[0, 0, 0, 0, 0, 2, 0, 0, 1]"
 XOOXX O ,1,"[0, 1, 2, 2, 1, 1, 0, 2, 0]"
O   X    ,7,"[2, 0, 0, 0, 1, 0, 0, 0, 0]"
OXOXO XOX,6,"[2, 1, 2, 1, 2, 0, 1, 2, 1]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
XXOXX  OO,7,"[1, 1, 2, 1, 1, 0, 0, 2, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
    O   X,8,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
XO XXO   ,9,"[1, 2, 0, 1, 1, 2, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
   X O XO,3,"[0, 0, 0, 1, 0, 2, 0, 1, 2]"
O X      ,6,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
OOXX OX X,5,"[2, 2, 1, 1, 0, 2, 1, 0, 1]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
  XO O  X,5,"[0, 0, 1, 2, 0, 2, 0, 0, 1]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X  XXOOO ,9,"[1, 0, 0, 1, 1, 2, 2, 2, 0]"
O  XOX  X,3,"[2, 0, 0, 1, 2, 1, 0, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OOOX X X,1,"[0, 2, 2, 2, 1, 0, 1, 0, 1]"
 OO X XX ,9,"[0, 2, 2, 0, 1, 0, 1, 1, 0]"
OO XOXOXX,3,"[2, 2, 0, 1, 2, 1, 2, 1, 1]"
  OOX X  ,9,"[0, 0, 2, 2, 1, 0, 1, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXO OXOX,5,"[1, 2, 1, 2, 0, 2, 1, 2, 1]"
X XO OOX ,2,"[1, 0, 1, 2, 0, 2, 2, 1, 0]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
OX O OXX ,9,"[2, 1, 0, 2, 0, 2, 1, 1, 0]"
 O   XXO ,5,"[0, 2, 0, 0, 0, 1, 1, 2, 0]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX  X    ,8,"[2, 1, 0, 0, 1, 0, 0, 0, 0]"
OXX O X  ,6,"[2, 1, 1, 0, 2, 0, 1, 0, 0]"
O X      ,9,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
XXO  OXOX,4,"[1, 1, 2, 0, 0, 2, 1, 2, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO XOOOXX,3,"[1, 2, 0, 1, 2, 2, 2, 1, 1]"
O XX   OX,6,"[2, 0, 1, 1, 0, 0, 0, 2, 1]"
  XX O OX,5,"[0, 0, 1, 1, 0, 2, 0, 2, 1]"
   OXOXXO,3,"[0, 0, 0, 2, 1, 2, 1, 1, 2]"
X XO   XO,2,"[1, 0, 1, 2, 0, 0, 0, 1, 2]"
     XO X,5,"[0, 0, 0, 0, 0, 1, 2, 0, 1]"
XXOX XO O,5,"[1, 1, 2, 1, 0, 1, 2, 0, 2]"
XOX O  XO,6,"[1, 2, 1, 0, 2, 0, 0, 1, 2]"
  O     X,8,"[0, 0, 2, 0, 0, 0, 0, 0, 1]"
X  XX OO ,9,"[1, 0, 0, 1, 1, 0, 2, 2, 0]"
  O    X ,9,"[0, 0, 2, 0, 0, 0, 0, 1, 0]"
X      OX,5,"[1, 0, 0, 0, 0, 0, 0, 2, 1]"
OX     XO,5,"[2, 1, 0, 0, 0, 0, 0, 1, 2]"
O O    XX,2,"[2, 0, 2, 0, 0, 0, 0, 1, 1]"
XX  O O  ,3,"[1, 1, 0, 0, 2, 0, 2, 0, 0]"
X   X   O,3,"[1, 0, 0, 0, 1, 0, 0, 0, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 O OXX  X,8,"[0, 2, 0, 2, 1, 1, 0, 0, 1]"
XOX  XO O,8,"[1, 2, 1, 0, 0, 1, 2, 0, 2]"
 XOX X OO,7,"[0, 1, 2, 1, 0, 1, 0, 2, 2]"
 O  X    ,3,"[0, 2, 0, 0, 1, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X  XO O,8,"[1, 0, 1, 0, 0, 1, 2, 0, 2]"
 XXOXOO  ,1,"[0, 1, 1, 2, 1, 2, 2, 0, 0]"
 O    XOX,5,"[0, 2, 0, 0, 0, 0, 1, 2, 1]"
 OX X OXO,4,"[0, 2, 1, 0, 1, 0, 2, 1, 2]"
  X    O ,9,"[0, 0, 1, 0, 0, 0, 0, 2, 0]"
 O X XO  ,9,"[0, 2, 0, 1, 0, 1, 2, 0, 0]"
XOXXOO   ,7,"[1, 2, 1, 1, 2, 2, 0, 0, 0]"
X XO X O ,2,"[1, 0, 1, 2, 0, 1, 0, 2, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 O XOO XX,7,"[0, 2, 0, 1, 2, 2, 0, 1, 1]"
   OX   X,7,"[0, 0, 0, 2, 1, 0, 0, 0, 1]"
XO    XO ,5,"[1, 2, 0, 0, 0, 0, 1, 2, 0]"
XO OXXXOO,3,"[1, 2, 0, 2, 1, 1, 1, 2, 2]"
XXO   OOX,5,"[1, 1, 2, 0, 0, 0, 2, 2, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
OX OXOXOX,3,"[2, 1, 0, 2, 1, 2, 1, 2, 1]"
OXX  OXXO,5,"[2, 1, 1, 0, 0, 2, 1, 1, 2]"
 O OX X  ,9,"[0, 2, 0, 2, 1, 0, 1, 0, 0]"
 XO  OXOX,1,"[0, 1, 2, 0, 0, 2, 1, 2, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
   XO    ,2,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
X  X   OO,7,"[1, 0, 0, 1, 0, 0, 0, 2, 2]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X OO   ,4,"[1, 0, 1, 0, 2, 2, 0, 0, 0]"
O OX O XX,2,"[2, 0, 2, 1, 0, 2, 0, 1, 1]"
   O  X  ,9,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
  OX O  X,1,"[0, 0, 2, 1, 0, 2, 0, 0, 1]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
 X     O ,7,"[0, 1, 0, 0, 0, 0, 0, 2, 0]"
      O X,3,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
   O  X  ,9,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
     O X ,5,"[0, 0, 0, 0, 0, 2, 0, 1, 0]"
   OOXXX ,9,"[0, 0, 0, 2, 2, 1, 1, 1, 0]"
OX  XXXOO,3,"[2, 1, 0, 0, 1, 1, 1, 2, 2]"
 X  O   X,6,"[0, 1, 0, 0, 2, 0, 0, 0, 1]"
XO   XOOX,5,"[1, 2, 0, 0, 0, 1, 2, 2, 1]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
O X  X   ,5,"[2, 0, 1, 0, 0, 1, 0, 0, 0]"
XO     X ,7,"[1, 2, 0, 0, 0, 0, 0, 1, 0]"
X   XO O ,3,"[1, 0, 0, 0, 1, 2, 0, 2, 0]"
 X OX   O,1,"[0, 1, 0, 2, 1, 0, 0, 0, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X X   O  ,9,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
O XOXX   ,7,"[2, 0, 1, 2, 1, 1, 0, 0, 0]"
XOXOX  O ,7,"[1, 2, 1, 2, 1, 0, 0, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
    X  OX,2,"[0, 0, 0, 0, 1, 0, 0, 2, 1]"
   XO    ,3,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
   X X OO,7,"[0, 0, 0, 1, 0, 1, 0, 2, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XX XXO OO,7,"[1, 1, 0, 1, 1, 2, 0, 2, 2]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
 XOOX    ,1,"[0, 1, 2, 2, 1, 0, 0, 0, 0]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OXOX   X,6,"[0, 2, 1, 2, 1, 0, 0, 0, 1]"
 X       ,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
XOX XO O ,9,"[1, 2, 1, 0, 1, 2, 0, 2, 0]"
  X  XOO ,9,"[0, 0, 1, 0, 0, 1, 2, 2, 0]"
O XXOO XX,7,"[2, 0, 1, 1, 2, 2, 0, 1, 1]"
   XX O  ,6,"[0, 0, 0, 1, 1, 0, 2, 0, 0]"
OXXX  O  ,9,"[2, 1, 1, 1, 0, 0, 2, 0, 0]"
   XXOX O,3,"[0, 0, 0, 1, 1, 2, 1, 0, 2]"
   O  OXX,5,"[0, 0, 0, 2, 0, 0, 2, 1, 1]"
  X XO OX,1,"[0, 0, 1, 0, 1, 2, 0, 2, 1]"
XO  XXOXO,4,"[1, 2, 0, 0, 1, 1, 2, 1, 2]"
OOXX   XO,5,"[2, 2, 1, 1, 0, 0, 0, 1, 2]"
 XO   OX ,5,"[0, 1, 2, 0, 0, 0, 2, 1, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 OOXX OXX,1,"[0, 2, 2, 1, 1, 0, 2, 1, 1]"
O XXXO OX,7,"[2, 0, 1, 1, 1, 2, 0, 2, 1]"
XXOO  XXO,6,"[1, 1, 2, 2, 0, 0, 1, 1, 2]"
XX OOXOOX,3,"[1, 1, 0, 2, 2, 1, 2, 2, 1]"
OOX   X  ,6,"[2, 2, 1, 0, 0, 0, 1, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXO OO XX,7,"[1, 1, 2, 0, 2, 2, 0, 1, 1]"
OOXOXX   ,7,"[2, 2, 1, 2, 1, 1, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O X  X  ,1,"[0, 2, 0, 1, 0, 0, 1, 0, 0]"
X O O XOX,4,"[1, 0, 2, 0, 2, 0, 1, 2, 1]"
O OX X   ,5,"[2, 0, 2, 1, 0, 1, 0, 0, 0]"
 OXOXX O ,7,"[0, 2, 1, 2, 1, 1, 0, 2, 0]"
      XO ,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
 XOOOX XX,7,"[0, 1, 2, 2, 2, 1, 0, 1, 1]"
X OOX OX ,2,"[1, 0, 2, 2, 1, 0, 2, 1, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOX OO X,5,"[0, 1, 2, 1, 0, 2, 2, 0, 1]"
 OX  XOXO,4,"[0, 2, 1, 0, 0, 1, 2, 1, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X OOXX XO,2,"[1, 0, 2, 2, 1, 1, 0, 1, 2]"
  X O XO ,2,"[0, 0, 1, 0, 2, 0, 1, 2, 0]"
X O  X XO,5,"[1, 0, 2, 0, 0, 1, 0, 1, 2]"
 X O XOX ,5,"[0, 1, 0, 2, 0, 1, 2, 1, 0]"
   XX OO ,9,"[0, 0, 0, 1, 1, 0, 2, 2, 0]"
OXOXO XX ,9,"[2, 1, 2, 1, 2, 0, 1, 1, 0]"
 OXXX OOX,1,"[0, 2, 1, 1, 1, 0, 2, 2, 1]"
OXX O OXX,4,"[2, 1, 1, 0, 2, 0, 2, 1, 1]"
O X   XO ,6,"[2, 0, 1, 0, 0, 0, 1, 2, 0]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
X OO X  X,5,"[1, 0, 2, 2, 0, 1, 0, 0, 1]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
  OXOOXX ,9,"[0, 0, 2, 1, 2, 2, 1, 1, 0]"
 OX X  O ,1,"[0, 2, 1, 0, 1, 0, 0, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOOX X O ,7,"[1, 2, 2, 1, 0, 1, 0, 2, 0]"
XXOX  O O,8,"[1, 1, 2, 1, 0, 0, 2, 0, 2]"
 XO XXOO ,4,"[0, 1, 2, 0, 1, 1, 2, 2, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O  XO  X,8,"[0, 2, 0, 0, 1, 2, 0, 0, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
O    XO X,4,"[2, 0, 0, 0, 0, 1, 2, 0, 1]"
XX XOO OX,3,"[1, 1, 0, 1, 2, 2, 0, 2, 1]"
XOXO XO  ,9,"[1, 2, 1, 2, 0, 1, 2, 0, 0]"
O X      ,7,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX  X O  ,4,"[2, 1, 0, 0, 1, 0, 2, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XO X   ,9,"[0, 0, 1, 2, 0, 1, 0, 0, 0]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
X      OX,5,"[1, 0, 0, 0, 0, 0, 0, 2, 1]"
   XO    ,2,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
       OX,5,"[0, 0, 0, 0, 0, 0, 0, 2, 1]"
OX  XOX O,8,"[2, 1, 0, 0, 1, 2, 1, 0, 2]"
X O O  XX,7,"[1, 0, 2, 0, 2, 0, 0, 1, 1]"
X   O   X,4,"[1, 0, 0, 0, 2, 0, 0, 0, 1]"
  OX     ,1,"[0, 0, 2, 1, 0, 0, 0, 0, 0]"
    O  X ,6,"[0, 0, 0, 0, 2, 0, 0, 1, 0]"
XOX  X  O,8,"[1, 2, 1, 0, 0, 1, 0, 0, 2]"
XXOO XOXO,5,"[1, 1, 2, 2, 0, 1, 2, 1, 2]"
   OXO  X,7,"[0, 0, 0, 2, 1, 2, 0, 0, 1]"
 X  X O O,8,"[0, 1, 0, 0, 1, 0, 2, 0, 2]"
X X     O,7,"[1, 0, 1, 0, 0, 0, 0, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X OOXXOX ,9,"[1, 0, 2, 2, 1, 1, 2, 1, 0]"
 X  O    ,3,"[0, 1, 0, 0, 2, 0, 0, 0, 0]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
     OX  ,9,"[0, 0, 0, 0, 0, 2, 1, 0, 0]"
    X   O,4,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO X XOXO,5,"[1, 2, 0, 1, 0, 1, 2, 1, 2]"
OXOXO   X,7,"[2, 1, 2, 1, 2, 0, 0, 0, 1]"
 XO  OX  ,9,"[0, 1, 2, 0, 0, 2, 1, 0, 0]"
 XX OXXOO,1,"[0, 1, 1, 0, 2, 1, 1, 2, 2]"
   OX    ,8,"[0, 0, 0, 2, 1, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X XOOO ,2,"[1, 0, 1, 0, 1, 2, 2, 2, 0]"
OX    XO ,6,"[2, 1, 0, 0, 0, 0, 1, 2, 0]"
XO  OOXX ,9,"[1, 2, 0, 0, 2, 2, 1, 1, 0]"
 OXX O   ,7,"[0, 2, 1, 1, 0, 2, 0, 0, 0]"
  XO X O ,1,"[0, 0, 1, 2, 0, 1, 0, 2, 0]"
XO  OXOXX,3,"[1, 2, 0, 0, 2, 1, 2, 1, 1]"
XXOOOX X ,7,"[1, 1, 2, 2, 2, 1, 0, 1, 0]"
 X X XOO ,5,"[0, 1, 0, 1, 0, 1, 2, 2, 0]"
OOXO XXXO,5,"[2, 2, 1, 2, 0, 1, 1, 1, 2]"
 XOXXO   ,9,"[0, 1, 2, 1, 1, 2, 0, 0, 0]"
O       X,7,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
 OO  X  X,5,"[0, 2, 2, 0, 0, 1, 0, 0, 1]"
  O  X   ,5,"[0, 0, 2, 0, 0, 1, 0, 0, 0]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  OOX  ,4,"[0, 1, 0, 0, 2, 2, 1, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
OXO OXXX ,9,"[2, 1, 2, 0, 2, 1, 1, 1, 0]"
  X O    ,6,"[0, 0, 1, 0, 2, 0, 0, 0, 0]"
 XO   OX ,5,"[0, 1, 2, 0, 0, 0, 2, 1, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  OX  XX,7,"[2, 0, 0, 2, 1, 0, 0, 1, 1]"
X  O  X  ,5,"[1, 0, 0, 2, 0, 0, 1, 0, 0]"
OXO XX  O,7,"[2, 1, 2, 0, 1, 1, 0, 0, 2]"
O XX     ,6,"[2, 0, 1, 1, 0, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
  X X O O,8,"[0, 0, 1, 0, 1, 0, 2, 0, 2]"
XX X OO O,3,"[1, 1, 0, 1, 0, 2, 2, 0, 2]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
OOXX XXOO,5,"[2, 2, 1, 1, 0, 1, 1, 2, 2]"
  XXOO   ,1,"[0, 0, 1, 1, 2, 2, 0, 0, 0]"
     X  O,5,"[0, 0, 0, 0, 0, 1, 0, 0, 2]"
X      OX,5,"[1, 0, 0, 0, 0, 0, 0, 2, 1]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X X OOXXO,4,"[1, 0, 1, 0, 2, 2, 1, 1, 2]"
 X OOX   ,3,"[0, 1, 0, 2, 2, 1, 0, 0, 0]"
OO   X X ,3,"[2, 2, 0, 0, 0, 1, 0, 1, 0]"
 OXX OOX ,5,"[0, 2, 1, 1, 0, 2, 2, 1, 0]"
XX O OOXX,5,"[1, 1, 0, 2, 0, 2, 2, 1, 1]"
XX  O    ,3,"[1, 1, 0, 0, 2, 0, 0, 0, 0]"
O  X XOOX,2,"[2, 0, 0, 1, 0, 1, 2, 2, 1]"
X  O    X,5,"[1, 0, 0, 2, 0, 0, 0, 0, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XXXOOO X,1,"[0, 1, 1, 1, 2, 2, 2, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O XX X O,6,"[0, 2, 0, 1, 1, 0, 1, 0, 2]"
OO XX    ,3,"[2, 2, 0, 1, 1, 0, 0, 0, 0]"
X OOXOXX ,9,"[1, 0, 2, 2, 1, 2, 1, 1, 0]"
   XXOXO ,9,"[0, 0, 0, 1, 1, 2, 1, 2, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
  O   X X,1,"[0, 0, 2, 0, 0, 0, 1, 0, 1]"
 X  O XO ,1,"[0, 1, 0, 0, 2, 0, 1, 2, 0]"
XO XO OXX,3,"[1, 2, 0, 1, 2, 0, 2, 1, 1]"
     XOX ,1,"[0, 0, 0, 0, 0, 1, 2, 1, 0]"
   O   X ,5,"[0, 0, 0, 2, 0, 0, 0, 1, 0]"
  XO  X  ,5,"[0, 0, 1, 2, 0, 0, 1, 0, 0]"
  X O    ,9,"[0, 0, 1, 0, 2, 0, 0, 0, 0]"
O X   XO ,6,"[2, 0, 1, 0, 0, 0, 1, 2, 0]"
O  XX XO ,9,"[2, 0, 0, 1, 1, 0, 1, 2, 0]"
OXO   X X,8,"[2, 1, 2, 0, 0, 0, 1, 0, 1]"
 XO OOXX ,9,"[0, 1, 2, 0, 2, 2, 1, 1, 0]"
OXOX   X ,5,"[2, 1, 2, 1, 0, 0, 0, 1, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X    ,7,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
 O XOX   ,3,"[0, 2, 0, 1, 2, 1, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X XO O XO,5,"[1, 0, 1, 2, 0, 2, 0, 1, 2]"
XOOXX O  ,9,"[1, 2, 2, 1, 1, 0, 2, 0, 0]"
OX XX   O,6,"[2, 1, 0, 1, 1, 0, 0, 0, 2]"
XXOX OO X,5,"[1, 1, 2, 1, 0, 2, 2, 0, 1]"
XO  OX   ,8,"[1, 2, 0, 0, 2, 1, 0, 0, 0]"
 O X   X ,7,"[0, 2, 0, 1, 0, 0, 0, 1, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   XXO   ,1,"[0, 0, 0, 1, 1, 2, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X   X  OO,7,"[1, 0, 0, 0, 1, 0, 0, 2, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OOOXXXX ,1,"[0, 2, 2, 2, 1, 1, 1, 1, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
X X OXO O,2,"[1, 0, 1, 0, 2, 1, 2, 0, 2]"
OXOX  OXX,5,"[2, 1, 2, 1, 0, 0, 2, 1, 1]"
  XXOO   ,1,"[0, 0, 1, 1, 2, 2, 0, 0, 0]"
       X ,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
OOXO X X ,7,"[2, 2, 1, 2, 0, 1, 0, 1, 0]"
 O  X O X,3,"[0, 2, 0, 0, 1, 0, 2, 0, 1]"
     XXO ,5,"[0, 0, 0, 0, 0, 1, 1, 2, 0]"
    X   O,7,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
   OOXXOX,3,"[0, 0, 0, 2, 2, 1, 1, 2, 1]"
   XO OX ,3,"[0, 0, 0, 1, 2, 0, 2, 1, 0]"
 OOXOXXXO,1,"[0, 2, 2, 1, 2, 1, 1, 1, 2]"
  X OXO  ,2,"[0, 0, 1, 0, 2, 1, 2, 0, 0]"
 OOX OX X,1,"[0, 2, 2, 1, 0, 2, 1, 0, 1]"
  O    X ,9,"[0, 0, 2, 0, 0, 0, 0, 1, 0]"
  X  O XO,5,"[0, 0, 1, 0, 0, 2, 0, 1, 2]"
XX   O O ,5,"[1, 1, 0, 0, 0, 2, 0, 2, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OX  OXXO,1,"[0, 2, 1, 0, 0, 2, 1, 1, 2]"
   X O   ,1,"[0, 0, 0, 1, 0, 2, 0, 0, 0]"
OOXX XXO ,5,"[2, 2, 1, 1, 0, 1, 1, 2, 0]"
  XOX   O,8,"[0, 0, 1, 2, 1, 0, 0, 0, 2]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOX OXOXO,4,"[1, 2, 1, 0, 2, 1, 2, 1, 2]"
OOXX OXXO,5,"[2, 2, 1, 1, 0, 2, 1, 1, 2]"
 XO O  XX,7,"[0, 1, 2, 0, 2, 0, 0, 1, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  OXOX OX,1,"[0, 0, 2, 1, 2, 1, 0, 2, 1]"
 XO  XOX ,5,"[0, 1, 2, 0, 0, 1, 2, 1, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  X  X  ,3,"[2, 0, 0, 1, 0, 0, 1, 0, 0]"
    OX   ,9,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
XO OXOX  ,9,"[1, 2, 0, 2, 1, 2, 1, 0, 0]"
