board,decision,Input
O   O X X,3,"[2, 0, 0, 0, 2, 0, 1, 0, 1]"
  X O    ,6,"[0, 0, 1, 0, 2, 0, 0, 0, 0]"
OO XX  XO,3,"[2, 2, 0, 1, 1, 0, 0, 1, 2]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O XX  X O,5,"[2, 0, 1, 1, 0, 0, 1, 0, 2]"
   XO  X ,1,"[0, 0, 0, 1, 2, 0, 0, 1, 0]"
   O X   ,7,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
O OX XX  ,5,"[2, 0, 2, 1, 0, 1, 1, 0, 0]"
X  OX XOO,3,"[1, 0, 0, 2, 1, 0, 1, 2, 2]"
OXO  XXXO,5,"[2, 1, 2, 0, 0, 1, 1, 1, 2]"
XOXOXXOO ,9,"[1, 2, 1, 2, 1, 1, 2, 2, 0]"
O    X  X,3,"[2, 0, 0, 0, 0, 1, 0, 0, 1]"
XX  O XO ,9,"[1, 1, 0, 0, 2, 0, 1, 2, 0]"
XX  O  OX,3,"[1, 1, 0, 0, 2, 0, 0, 2, 1]"
XOOX   XO,6,"[1, 2, 2, 1, 0, 0, 0, 1, 2]"
 O    XXO,3,"[0, 2, 0, 0, 0, 0, 1, 1, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XO X    ,8,"[0, 1, 2, 0, 1, 0, 0, 0, 0]"
 OX  XXO ,5,"[0, 2, 1, 0, 0, 1, 1, 2, 0]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
 OX O XX ,9,"[0, 2, 1, 0, 2, 0, 1, 1, 0]"
OX XOX   ,7,"[2, 1, 0, 1, 2, 1, 0, 0, 0]"
 OXOXO  X,7,"[0, 2, 1, 2, 1, 2, 0, 0, 1]"
O  O X X ,7,"[2, 0, 0, 2, 0, 1, 0, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOOX X O ,7,"[1, 2, 2, 1, 0, 1, 0, 2, 0]"
O X XXOO ,9,"[2, 0, 1, 0, 1, 1, 2, 2, 0]"
    XOXXO,3,"[0, 0, 0, 0, 1, 2, 1, 1, 2]"
OX X X O ,5,"[2, 1, 0, 1, 0, 1, 0, 2, 0]"
 OOXO X X,8,"[0, 2, 2, 1, 2, 0, 1, 0, 1]"
     X OX,5,"[0, 0, 0, 0, 0, 1, 0, 2, 1]"
 XXO O OX,1,"[0, 1, 1, 2, 0, 2, 0, 2, 1]"
XOXO  XO ,5,"[1, 2, 1, 2, 0, 0, 1, 2, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O X XO OX,7,"[2, 0, 1, 0, 1, 2, 0, 2, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 O    X X,5,"[0, 2, 0, 0, 0, 0, 1, 0, 1]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
OOX  OX X,5,"[2, 2, 1, 0, 0, 2, 1, 0, 1]"
 X    O  ,1,"[0, 1, 0, 0, 0, 0, 2, 0, 0]"
O XX OX  ,5,"[2, 0, 1, 1, 0, 2, 1, 0, 0]"
OX XO  X ,3,"[2, 1, 0, 1, 2, 0, 0, 1, 0]"
O  X     ,5,"[2, 0, 0, 1, 0, 0, 0, 0, 0]"
 XOXOX OX,7,"[0, 1, 2, 1, 2, 1, 0, 2, 1]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
O XXX OO ,6,"[2, 0, 1, 1, 1, 0, 2, 2, 0]"
O X X O X,4,"[2, 0, 1, 0, 1, 0, 2, 0, 1]"
    O   X,7,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
XXOX  O  ,8,"[1, 1, 2, 1, 0, 0, 2, 0, 0]"
OXXO O XX,7,"[2, 1, 1, 2, 0, 2, 0, 1, 1]"
X XOXX OO,7,"[1, 0, 1, 2, 1, 1, 0, 2, 2]"
OX    X  ,8,"[2, 1, 0, 0, 0, 0, 1, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
